Country,Total Population,Total Cases,Total Death,Death per million,BCG
China,1439323776,82295,3432,2.38445307249618,Yes
India,1380004385,11555,396,0.286955609927283,Yes
Indonesia,271523615,4839,459,1.69046069897088,Yes
Pakistan,220892300,5988,107,0.484398958225343,Yes
Japan,126476461,8100,146,1.15436500077275,Yes
Turkey,84339067,65111,1403,16.6352326378,Yes
Iran,83992949,70877,4683,55.7546800743953,Yes
Thailand,69799978,2643,43,0.616046039441445,Yes
South Korea,51269185,10591,2225,43.3983883301441,Yes
Poland,37846611,7202,263,6.94910305178976,Yes
Saudi Arabia,30813871,5369,73,2.36906294571039,Yes
Malaysia,32365999,4987,82,2.53352291087941,Yes
Romania,19237691,6879,357,18.5573206264723,Yes
Chile,19116201,7917,92,4.8126717227968,Yes
Ecuador,17643054,7603,369,20.9147463925463,Yes
Brazil,11589623,25684,1552,133.912897770704,Yes
Greece,10423054,2170,101,9.69005821134573,Yes
Portugal,10196709,17448,567,55.606176463406,Yes
Singapore,5850342,3252,10,1.7093017809899,Yes
Ireland,4937786,11079,406,82.2230854071035,Yes
Qatar,2881053,3428,7,2.42966720848245,Yes
Germany,83783942,132210,3495,41.714437356027,Discontinued
United Kingdom,67886011,93873,12107,178.343075718501,Discontinued
France,65273511,143303,15729,240.970644278657,Discontinued
Spain,46750778,170060,18255,390.474785253841,Discontinued
Australia,254998884,6440,63,0.247059904779819,Discontinued
Czechia,10708981,6151,163,15.2208692871899,Discontinued
Sweden,10099265,11445,1033,102.284671211222,Discontinued
Austria,9006398,14265,384,42.6363569542452,Discontinued
Israel,8655535,12200,126,14.5571590895306,Discontinued
Denmark,5792202,6511,299,51.6211278543117,Discontinued
Finland,5540720,3161,64,11.5508453774961,Discontinued
Norway,5021201,6623,139,27.6826201540229,Discontinued
Canada,3742154,27063,903,241.304874144677,Discontinued
United States,331002651,614246,26064,78.7425717626654,No
Italy,60461826,162488,21067,348.434729708626,No
Netherlands,17134872,27419,2945,171.871724515946,No
Belgium,11589623,31119,4157,358.682935588155,No
Switzerland,8650622,25936,1170,135.250390087557,No
Iceland,341203,1720,8,23.4464526982471,No
